1238,58338
1025,41748
1299,62751
1445,76723
1661,100051
1677,101476
1214,56113
1625,95679
1117,48060
1298,62913
1658,98923
1107,48634
1018,41352
1673,101464
1922,129842
1100,47179
1540,86613
1756,110001
1064,44254
1623,94915
1735,108549
1853,120944
1014,40272
1013,40359
1066,43968
1113,48049
1199,55723
1079,45594
1178,52615
1960,134959
1645,97819
1082,46787
1210,55168
1099,47720
1763,111480
1514,84352
1243,59727
1631,96801
1563,88490
1251,58990
1157,51164
1508,83952
1663,100469
1618,95824
1891,126024
1491,81215
1400,73356
1332,67476
1931,131898
1910,128364
1342,68205
1542,86430
1998,140728
1195,55401
1527,85234
1589,92099
1820,118440
1861,122759
1206,56595
1552,87709
1606,93686
1568,88985
1553,88183
1495,81980
1505,83573
1146,51426
1021,42011
1169,52823
1348,68054
1638,96852
1114,49142
1483,80872
1205,54894
1899,126548
1430,76455
1311,65057
1323,66314
1749,109440
1197,54620
1582,91476
1182,54005
1165,51823
1472,80573
1546,87746
1271,61578
1172,53969
1264,60127
1857,121570
1388,72598
1773,111536
1649,97569
1355,68285
1226,58163
1872,124028
1921,129765
1768,112168
1963,135258
1141,51112
1426,76278
1947,134251
1794,115523
1713,104976
1267,60810
1843,119717
1722,105378
1012,40914
1520,84246
1503,83077
1026,42159
1533,85035
1870,124368
1862,121928
1898,127047
1561,88266
1415,74294
1992,138896
1186,54224
1642,97827
1433,76166
1644,96991
1765,111303
1805,115871
1411,74896
1497,82928
1777,112333
1539,85701
1828,118308
1280,61735
1620,95983
1111,48575
1512,83261
1260,59580
1049,43946
1659,99945
1592,91076
1164,52477
1784,113249
1335,66055
1175,54075
1927,131558
1293,62901
1048,43918
1334,66765
1801,114677
1744,109745
1070,45003
1265,60498
1247,59278
1451,77882
1571,89668
1032,43343
1725,105668
1860,123345
1116,48738
1986,138115
1651,99285
1585,90711
1420,74852
1812,115877
1129,50401
1999,140441
1093,47812
1068,44761
1615,94156
1042,42139
1778,113676
1232,58010
1317,65325
1693,103818
1473,80424
1601,92332
1657,98993
1939,132588
1936,131297
1683,101642
1359,69087
1596,93119
1309,65312
1560,88896
1920,130889
1837,119774
1112,48281
1745,109065
1320,64897
1569,89204
1455,77220
1671,100680
1281,62543
1381,70398
1399,73088
1010,41319
1877,124070
1414,74285
1372,70350
1489,82028
1614,94422
1294,62700
1723,106346
1036,42243
1873,125030
1869,122880
1126,49328
1883,125828
1019,41856
1229,56880
1559,89066
1976,136455
1814,116455
1225,57569
1095,47469
1236,58655
1580,90947
1305,64704
1786,114225
1515,83151
1061,43960
1856,122817
1884,125160
1770,110936
1450,78305
1390,71816
1435,77102
1716,104947
1751,109222
1562,88467
1340,67544
1531,86663
1240,59584
1956,134855
1187,53473
1613,94990
1319,64993
1250,58637
1385,72057
1971,135776
1016,41060
1402,72177
1728,107482
1634,97168
1052,43040
1815,116801
1106,46909
1034,42591
1968,135849
1905,128920
1797,114265
1764,110713
1303,64569
1691,101868
1353,68777
1069,45396
1478,80502
1985,138292
1730,108050
1283,63082
1304,64201
1628,95615
1511,84282
1470,79823
1836,118605
1524,84335
1771,112013
1488,81512
1919,130388
1427,75647
1366,69332
1826,119350
1721,107097
1234,58099
1718,105739
1924,129776
1277,61580
1807,116610
1742,108658
1181,53178
1275,61034
1035,42970
1911,128600
1314,65645
1424,74223
1456,79154
1253,58847
1570,89052
1389,71973
1762,110590
1033,42657
1176,54340
1821,117130
1547,87538
1969,137111
1579,90677
1394,73059
1854,122352
1284,62302
1783,112798
1439,77248
1235,58913
1816,117047
1458,77624
1188,53482
1282,62699
1336,66453
1709,104969
1443,76423
1081,46266
1829,118946
1161,51998
1965,135638
1331,67434
1136,49287
1258,59412
1803,115976
1171,52363
1594,93217
1044,42385
1371,71191
1356,68974
1840,119443
1844,120182
1752,109560
1646,97818
1710,104319
1097,47906
1896,126220
1310,65048
1465,78223
1001,40907
1991,138562
1612,93609
1167,52634
1865,122265
1972,136353
1675,100733
1072,45240
1183,54031
1312,64113
1151,50562
1373,71070
1254,58945
1557,88261
1085,46388
1480,79952
1060,44597
1344,68046
1428,74753
1365,69538
1957,135369
1688,103287
1487,80900
1808,115388
1147,51773
1023,40865
1792,115199
1006,40877
1789,113328
1352,69056
1349,69067
1104,46791
1558,88984
1535,87025
1406,73217
1997,140603
1288,62215
1809,115680
1073,44647
1437,76646
1988,137923
1670,99564
1838,119439
1578,90006
1871,123379
1940,132888
1900,127593
1454,77399
1166,51856
1687,101803
1590,91193
1438,77524
1055,43886
1926,129733
1703,103758
1156,50955
1938,132834
1484,81221
1011,40899
1043,42475
1148,51167
1845,120992
1249,58755
1652,97926
1076,44806
1269,61609
1950,133627
1050,43243
1501,82278
1954,135117
1351,68149
1325,65759
1177,53760
1554,88531
1889,125105
1091,45777
1802,116131
1859,121417
1892,126513
1452,76964
1680,101786
1534,85154
1185,53704
1039,42807
1747,109484
1607,94057
1635,96660
1543,86361
1587,91886
1248,60100
1676,100450
1133,50706
1286,62954
1173,52254
1326,65827
1772,112102
1944,133079
1002,39312
1474,79974
1358,68329
1024,40971
1928,130369
1530,86325
1519,84833
1881,124660
1270,61609
1053,44628
1977,137622
1955,134816
1017,41550
1813,116733
1669,100580
1272,61436
1477,80190
1233,58569
1755,110958
1700,102864
1788,113240
1022,40830
1989,139520
1408,74253
1734,107775
1987,139382
1656,98767
1256,59705
1790,113599
1608,94535
1077,46096
1782,112431
1842,119887
1717,104782
1684,102777
1893,127047
1363,69824
1629,96023
1051,44005
1485,82034
1493,82064
1268,60430
1132,50083
1412,74486
1810,116873
1908,128563
1754,109865
1230,57348
1120,49557
1566,89969
1227,56836
1767,111631
1822,117503
1461,79106
1102,47475
1417,73873
1586,90569
1532,85608
1654,98497
1766,111495
1029,41671
1619,95467
1460,77984
1584,91812
1705,105350
1630,95200
1806,115490
1391,73059
1715,105582
1194,53933
1273,62362
1518,84321
1611,94208
1078,46592
1825,117306
1668,100351
1817,117175
1407,73720
1054,44467
1301,64879
1640,97142
1706,103836
1089,46978
1144,51131
1993,139463
1509,84467
1914,129950
1550,88474
1811,116379
1367,70630
1948,134247
1627,95911
1753,109958
1379,71231
1866,124143
1369,70648
1942,132170
1125,48629
1549,87357
1885,124588
1481,80897
1946,132484
1004,40844
1650,97664
1434,75548
1397,72068
1174,52479
1639,97555
1636,96803
1704,103663
1548,87015
1834,119516
1739,109196
1364,69343
1741,107878
1222,56399
1681,102648
1263,60470
1678,101763
1523,85803
1090,47599
1909,128547
1163,51346
1083,46027
1945,133715
1038,43285
1486,82004
1890,126034
1059,44068
1901,127103
1377,70420
1168,52466
1974,137692
1278,62404
1864,123592
1067,44385
1913,129250
1444,76736
1242,57981
1804,114831
1333,67273
1525,85224
1492,81992
1595,93309
1536,86701
1506,83259
1130,50301
1354,69443
1103,47686
1609,93494
1193,53781
1370,70866
1917,128876
1800,115468
1697,102929
1827,118257
1736,107364
1160,53040
1143,50327
1096,46159
1961,134625
1259,60052
1897,127574
1228,57849
1202,55636
1149,51772
1929,130178
1556,88368
1692,102009
1696,103796
1895,126016
1135,50444
1915,128847
1122,50033
1375,70535
1190,54797
1602,93927
1604,92924
1785,112853
1912,129521
1395,71837
1393,72471
1384,71758
1775,113380
1463,78846
1781,112288
1949,133622
1597,93574
1682,102744
1984,137905
1875,123948
1343,67480
1287,62937
1360,69546
1020,41938
1063,44336
1757,111173
1221,57780
1996,140149
1983,137742
1005,40163
1711,104112
1565,89604
1689,102350
1720,106713
1162,51331
1823,118620
1155,51789
1707,104897
1848,120370
1266,61082
1191,54830
1003,40959
1849,120803
1774,112102
1330,66426
1551,86916
1241,58774
1322,65342
1092,46598
1128,50248
1701,104752
1686,102042
1401,72129
1341,66709
1951,134345
1738,107633
1274,62216
1086,46850
1211,55696
1075,46024
1637,96391
1362,70072
1858,123245
1759,109958
1421,75878
1593,91392
1633,97289
1179,53889
1220,57211
1648,97190
1760,111554
1440,75844
1879,125574
1795,114932
1746,109791
1115,49050
1469,79807
1441,76405
1306,64255
1297,62589
1729,107114
1979,138317
1761,111525
1056,43778
1538,87361
1544,86633
1990,139392
1448,76951
1198,55358
1382,70766
1392,72303
1516,83887
1975,136093
1799,116146
1545,87836
1662,100463
1328,67287
1015,40231
1150,51128
1127,49610
1655,98960
1347,67052
1345,68139
1732,107738
1216,56357
1647,97970
1252,58753
1466,78311
1776,113331
1850,122217
1605,93577
1245,59174
1140,49832
1904,127234
1062,45178
1170,52168
1296,63981
1526,84508
1791,114977
1577,90851
1383,70410
1118,49008
1459,79488
1528,85552
1203,56540
1572,89325
1037,42297
1396,73345
1321,65742
1930,131007
1798,114815
1847,120292
1923,130860
1449,76636
1653,98110
1726,105937
1462,78512
1387,72043
1431,75518
1818,116768
1610,93905
1622,96017
1674,101293
1123,49992
1237,59263
1101,46607
1966,136245
1699,103400
1124,48529
1084,46649
1981,138325
1007,40446
1967,135709
1327,66827
1471,79036
1943,132045
1105,48037
1724,107344
1499,83151
1000,39590
1833,118670
1574,89986
1694,103632
1714,105243
1962,134678
1313,65197
1598,92439
1517,85272
1830,118997
1490,82209
1361,69549
1464,79964
1291,63493
1831,118483
1758,109511
1432,75840
1537,87054
1139,50264
1204,54918
1200,56216
1339,68065
1685,101254
1368,68963
1404,74281
1839,120876
1224,57671
1925,131450
1796,115066
1851,121029
1916,129048
1541,87383
1429,74828
1624,95544
1980,137022
1152,51194
1664,99512
1494,81679
1058,45178
1357,69023
1733,106864
1318,66333
1887,125801
1880,125177
1888,125955
1780,112570
1868,122962
1137,49264
